Species_n,Variety_n,Processing.Method_n,Aroma_n,Flavor_n,Aftertaste_n,Acidity_n,Body_n,Balance_n,Uniformity_n,Clean.Cup_n,Sweetness_n,Cupper.Points_n,Moisture_n,Color_n,Altitude_n
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.609843938,0.763613861,0.779040404,0.630252101,0.615757576,0.611888112,0.6,0,0.133,0.602564103,0,0,0
0,0,0,0.759903962,0.783415842,0.779040404,0.729891957,0.626666667,0.708624709,0.6,0.133,0.6,0.611888112,0,0,0
0,0,0,0.780312125,0.783415842,0.779040404,0.75030012,0.636363636,0.719114219,0.667,0.267,0.6,0.631701632,0,0,0
0,0,0,0.780312125,0.794554455,0.779040404,0.780312125,0.767272727,0.719114219,0.667,0.267,0.667,0.699300699,0,0,0
0,0.038461538,0,0.800720288,0.804455446,0.789141414,0.800720288,0.778181818,0.719114219,0.667,0.533,0.742,0.719114219,0,0,0
0,0.038461538,0,0.81032413,0.804455446,0.799242424,0.800720288,0.787878788,0.737762238,0.733,0.533,0.742,0.719114219,0,0,0
0,0.038461538,0,0.81032413,0.804455446,0.799242424,0.800720288,0.808484848,0.757575758,0.8,0.6,0.742,0.728438228,0,0,0
0,0.038461538,0,0.819927971,0.804455446,0.799242424,0.81032413,0.808484848,0.757575758,0.8,0.6,0.75,0.737762238,0,0,0
0,0.038461538,0,0.819927971,0.814356436,0.799242424,0.81032413,0.818181818,0.766899767,0.8,0.6,0.758,0.737762238,0,0,0
0,0.038461538,0,0.819927971,0.814356436,0.810606061,0.819927971,0.818181818,0.766899767,0.8,0.6,0.758,0.748251748,0,0,
0,0.038461538,0,0.819927971,0.814356436,0.810606061,0.819927971,0.818181818,0.777389277,0.8,0.6,0.758,0.748251748,0,0,
0,0.038461538,0,0.819927971,0.814356436,0.820707071,0.819927971,0.827878788,0.777389277,0.8,0.667,0.758,0.748251748,0,0,
0,0.038461538,0,0.819927971,0.82549505,0.820707071,0.819927971,0.827878788,0.777389277,0.8,0.667,0.758,0.757575758,0,0,0.009099393
0,0.038461538,0,0.830732293,0.82549505,0.820707071,0.819927971,0.827878788,0.786713287,0.8,0.667,0.767,0.757575758,0,0,0.011432571
0,0.038461538,0,0.830732293,0.82549505,0.820707071,0.819927971,0.827878788,0.786713287,0.8,0.667,0.767,0.757575758,0,0,0.02309846
0,0.038461538,0,0.830732293,0.83539604,0.830808081,0.830732293,0.838787879,0.786713287,0.8,0.667,0.775,0.757575758,0,0,0.025431638
0,0.038461538,0.25,0.830732293,0.83539604,0.830808081,0.830732293,0.838787879,0.786713287,0.8,0.667,0.775,0.766899767,0,0,0.028931405
0,0.038461538,0.25,0.830732293,0.83539604,0.830808081,0.830732293,0.838787879,0.786713287,0.8,0.733,0.775,0.766899767,0,0,0.034764349
0,0.038461538,0.25,0.830732293,0.83539604,0.830808081,0.830732293,0.838787879,0.796037296,0.8,0.733,0.775,0.766899767,0,0,0.034764349
0,0.076923077,0.25,0.830732293,0.83539604,0.830808081,0.830732293,0.838787879,0.796037296,0.8,0.733,0.775,0.766899767,0,0,0.036604386
0,0.076923077,0.25,0.830732293,0.83539604,0.842171717,0.830732293,0.838787879,0.796037296,0.8,0.8,0.775,0.766899767,0,0,0.036604386
0,0.076923077,0.25,0.830732293,0.84529703,0.842171717,0.830732293,0.848484848,0.796037296,0.867,0.8,0.775,0.777389277,0,0,0.036604386
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.830732293,0.848484848,0.796037296,0.867,0.8,0.783,0.777389277,0,0,0.038264116
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.840336134,0.848484848,0.796037296,0.867,0.8,0.783,0.777389277,0,0,0.038964069
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.840336134,0.848484848,0.796037296,0.867,0.8,0.792,0.777389277,0,0,0.040597294
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.840336134,0.848484848,0.796037296,0.867,0.8,0.792,0.777389277,0,0,0.041763882
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.840336134,0.848484848,0.796037296,0.867,0.8,0.8,0.777389277,0,0,0.042930471
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.840336134,0.848484848,0.796037296,0.867,0.8,0.8,0.777389277,0,0,0.046430238
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.840336134,0.848484848,0.796037296,0.867,0.867,0.8,0.777389277,0,0,0.046430238
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.840336134,0.848484848,0.796037296,0.867,0.867,0.8,0.777389277,0,0,0.046430238
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.840336134,0.848484848,0.796037296,0.867,0.867,0.8,0.777389277,0,0,0.046430238
0,0.076923077,0.25,0.840336134,0.84529703,0.842171717,0.840336134,0.848484848,0.796037296,0.867,0.867,0.8,0.777389277,0,0,0.058096127
0,0.076923077,0.25,0.840336134,0.856435644,0.852272727,0.840336134,0.848484848,0.806526807,0.867,0.867,0.8,0.777389277,0,0,0.058096127
0,0.076923077,0.25,0.840336134,0.856435644,0.852272727,0.840336134,0.848484848,0.806526807,0.867,0.867,0.8,0.777389277,0,0,0.058212786
0,0.076923077,0.25,0.840336134,0.856435644,0.852272727,0.840336134,0.848484848,0.806526807,0.867,0.933,0.8,0.777389277,0,0,0.069762016
0,0.076923077,0.25,0.840336134,0.856435644,0.852272727,0.840336134,0.848484848,0.806526807,0.867,0.933,0.842,0.777389277,0,0,0.081427905
0,0.076923077,0.25,0.840336134,0.856435644,0.852272727,0.840336134,0.848484848,0.806526807,0.867,0.933,0.867,0.786713287,0,0,0.081427905
0,0.076923077,0.25,0.840336134,0.856435644,0.852272727,0.840336134,0.848484848,0.806526807,0.933,0.933,0.867,0.786713287,0,0,0.102193187
0,0.076923077,0.25,0.849939976,0.856435644,0.852272727,0.840336134,0.848484848,0.806526807,0.933,0.933,0.867,0.786713287,0,0,0.102659823
0,0.076923077,0.25,0.849939976,0.856435644,0.852272727,0.840336134,0.848484848,0.806526807,0.933,0.933,0.933,0.786713287,0,0.333333333,0.10289314
0,0.076923077,0.25,0.849939976,0.856435644,0.862373737,0.840336134,0.848484848,0.806526807,0.933,0.933,0.933,0.786713287,0,0.333333333,0.10289314
0,0.076923077,0.25,0.849939976,0.856435644,0.862373737,0.840336134,0.848484848,0.806526807,0.933,0.933,0.933,0.786713287,0,0.333333333,0.10289314
0,0.076923077,0.25,0.849939976,0.856435644,0.862373737,0.840336134,0.848484848,0.806526807,0.933,0.933,0.933,0.786713287,0,0.333333333,0.10289314
0,0.076923077,0.25,0.849939976,0.856435644,0.862373737,0.840336134,0.848484848,0.806526807,0.933,0.933,0.933,0.786713287,0,0.333333333,0.123891741
0,0.076923077,0.25,0.849939976,0.866336634,0.862373737,0.840336134,0.848484848,0.806526807,0.933,0.933,0.933,0.786713287,0,0.333333333,0.124125058
0,0.076923077,0.25,0.849939976,0.866336634,0.862373737,0.840336134,0.858181818,0.806526807,0.933,0.933,0.933,0.786713287,0,0.333333333,0.128091461
0,0.076923077,0.25,0.849939976,0.866336634,0.862373737,0.840336134,0.858181818,0.806526807,0.933,0.933,0.933,0.786713287,0,0.333333333,0.13975735
0,0.076923077,0.25,0.849939976,0.866336634,0.862373737,0.849939976,0.858181818,0.806526807,0.933,0.933,0.933,0.786713287,0,0.333333333,0.13975735
